# Probe 0 (2 0 0)
# Probe 1 (3 -1.5 0)
# Probe 2 (3 1.5 0)
# Probe 3 (4 -2 0)
# Probe 4 (4 2 0)
#       Probe             0             1             2             3             4
#        Time
        0.005             (0.950339 -0.00240185 -1.10599e-18)             (0.995852 0.0202345 1.80461e-19)             (0.995852 -0.0202345 -1.47179e-19)             (1.0008 0.00543281 0)             (1.0008 -0.0054328 0)
         0.01             (0.94836 -0.00232245 4.35833e-20)             (0.995275 0.0174491 3.49709e-20)             (0.995275 -0.0174491 -2.71822e-20)             (1.00027 0.00542585 0)             (1.00027 -0.00542585 0)
        0.015             (0.948094 -0.00233775 1.78868e-21)             (0.995234 0.017081 -4.33872e-22)             (0.995234 -0.017081 3.90501e-22)             (1.00025 0.00551121 0)             (1.00025 -0.00551121 0)
         0.02             (0.947826 -0.00235327 1.17061e-21)             (0.9952 0.0169325 5.61635e-22)             (0.9952 -0.0169325 -4.14248e-22)             (1.00025 0.00559572 0)             (1.00025 -0.00559572 0)
        0.025             (0.947564 -0.00236872 1.04676e-21)             (0.995169 0.0168707 7.7828e-22)             (0.995169 -0.0168707 -5.93591e-22)             (1.00024 0.0056779 0)             (1.00024 -0.0056779 0)
         0.03             (0.947308 -0.002384 1.07126e-21)             (0.995143 0.0168525 7.97065e-22)             (0.995143 -0.0168525 -6.10735e-22)             (1.00024 0.00575717 0)             (1.00024 -0.00575717 0)
        0.035             (0.947058 -0.00239907 1.14169e-21)             (0.995121 0.0168593 7.44339e-22)             (0.995121 -0.0168593 -5.69285e-22)             (1.00025 0.00583348 0)             (1.00025 -0.00583348 0)
         0.04             (0.946812 -0.00241395 1.22007e-21)             (0.995104 0.0168816 6.65191e-22)             (0.995104 -0.0168816 -5.06254e-22)             (1.00025 0.00590699 0)             (1.00025 -0.00590699 0)
        0.045             (0.94657 -0.00242866 1.29451e-21)             (0.99509 0.0169142 5.78057e-22)             (0.99509 -0.0169142 -4.36656e-22)             (1.00025 0.00597788 0)             (1.00025 -0.00597788 0)
         0.05             (0.946331 -0.00244322 1.3603e-21)             (0.99508 0.0169539 4.91229e-22)             (0.99508 -0.0169539 -3.6738e-22)             (1.00026 0.00604635 0)             (1.00026 -0.00604635 0)
        0.055             (0.946094 -0.00245766 1.41713e-21)             (0.995072 0.0169987 4.08571e-22)             (0.995072 -0.0169987 -3.01485e-22)             (1.00027 0.0061126 0)             (1.00027 -0.0061126 0)
         0.06             (0.94586 -0.00247198 1.46413e-21)             (0.995067 0.0170474 3.31734e-22)             (0.995067 -0.0170474 -2.40339e-22)             (1.00027 0.00617683 0)             (1.00027 -0.00617684 0)
        0.065             (0.945626 -0.0024862 1.5036e-21)             (0.995064 0.0170991 2.61205e-22)             (0.995064 -0.0170991 -1.84339e-22)             (1.00028 0.00623922 0)             (1.00028 -0.00623922 0)
         0.07             (0.945394 -0.00250034 1.53744e-21)             (0.995063 0.0171534 1.96979e-22)             (0.995063 -0.0171534 -1.33398e-22)             (1.00029 0.0062999 0)             (1.00029 -0.0062999 0)
        0.075             (0.945163 -0.0025144 1.56538e-21)             (0.995063 0.0172096 1.38849e-22)             (0.995063 -0.0172096 -8.74219e-23)             (1.00029 0.00635901 0)             (1.00029 -0.00635901 0)
         0.08             (0.944933 -0.00252838 1.59062e-21)             (0.995065 0.0172676 8.64286e-23)             (0.995065 -0.0172676 -4.60443e-23)             (1.0003 0.00641667 0)             (1.0003 -0.00641667 0)
        0.085             (0.944703 -0.0025423 1.61293e-21)             (0.995068 0.0173269 3.92989e-23)             (0.995068 -0.0173269 -8.90874e-24)             (1.00031 0.00647297 0)             (1.00031 -0.00647297 0)
         0.09             (0.944474 -0.00255617 1.63387e-21)             (0.995072 0.0173874 -3.22218e-24)             (0.995072 -0.0173874 2.45108e-23)             (1.00032 0.00652801 0)             (1.00032 -0.00652801 0)
        0.095             (0.944246 -0.00256998 1.65259e-21)             (0.995077 0.0174489 -4.13605e-23)             (0.995077 -0.0174489 5.43757e-23)             (1.00033 0.00658186 0)             (1.00033 -0.00658186 0)
          0.1             (0.944017 -0.00258374 1.67046e-21)             (0.995082 0.0175112 -7.55344e-23)             (0.995082 -0.0175112 8.10531e-23)             (1.00034 0.00663459 0)             (1.00034 -0.00663459 0)
        0.105             (0.943789 -0.00259746 1.68661e-21)             (0.995089 0.0175743 -1.06013e-22)             (0.995089 -0.0175743 1.04756e-22)             (1.00034 0.00668627 0)             (1.00034 -0.00668627 0)
         0.11             (0.943562 -0.00261114 1.70287e-21)             (0.995095 0.0176379 -1.33372e-22)             (0.995095 -0.0176379 1.25956e-22)             (1.00035 0.00673697 0)             (1.00035 -0.00673697 0)
        0.115             (0.943334 -0.00262478 1.71855e-21)             (0.995103 0.0177022 -1.57773e-22)             (0.995103 -0.0177022 1.44782e-22)             (1.00036 0.00678674 0)             (1.00036 -0.00678674 0)
         0.12             (0.943107 -0.00263839 1.73427e-21)             (0.99511 0.0177668 -1.79371e-22)             (0.99511 -0.0177668 1.6143e-22)             (1.00037 0.00683562 0)             (1.00037 -0.00683562 0)
        0.125             (0.94288 -0.00265197 1.74989e-21)             (0.995118 0.0178318 -1.987e-22)             (0.995118 -0.0178318 1.76259e-22)             (1.00038 0.00688366 0)             (1.00038 -0.00688366 0)
         0.13             (0.942653 -0.00266552 1.76506e-21)             (0.995126 0.0178971 -2.15901e-22)             (0.995126 -0.0178971 1.89385e-22)             (1.00039 0.00693092 0)             (1.00039 -0.00693092 0)
        0.135             (0.942425 -0.00267905 1.77983e-21)             (0.995135 0.0179626 -2.31096e-22)             (0.995135 -0.0179626 2.00895e-22)             (1.0004 0.00697742 0)             (1.0004 -0.00697742 0)
         0.14             (0.942198 -0.00269255 1.79438e-21)             (0.995143 0.0180284 -2.44495e-22)             (0.995143 -0.0180284 2.10976e-22)             (1.00041 0.00702321 0)             (1.00041 -0.00702321 0)
        0.145             (0.941971 -0.00270604 1.80857e-21)             (0.995152 0.0180943 -2.56254e-22)             (0.995152 -0.0180943 2.19756e-22)             (1.00042 0.00706831 0)             (1.00042 -0.00706831 0)
         0.15             (0.941744 -0.00271951 1.82294e-21)             (0.99516 0.0181604 -2.66598e-22)             (0.99516 -0.0181604 2.27413e-22)             (1.00043 0.00711277 0)             (1.00043 -0.00711277 0)
        0.155             (0.941517 -0.00273296 1.83803e-21)             (0.995169 0.0182267 -2.75636e-22)             (0.995169 -0.0182267 2.34045e-22)             (1.00043 0.00715659 0)             (1.00043 -0.00715659 0)
         0.16             (0.941289 -0.00274641 1.85211e-21)             (0.995177 0.018293 -2.83234e-22)             (0.995177 -0.018293 2.39551e-22)             (1.00044 0.00719982 0)             (1.00044 -0.00719982 0)
        0.165             (0.941062 -0.00275984 1.86608e-21)             (0.995186 0.0183595 -2.89839e-22)             (0.995186 -0.0183595 2.44265e-22)             (1.00045 0.00724249 0)             (1.00045 -0.00724249 0)
         0.17             (0.940834 -0.00277326 1.87976e-21)             (0.995195 0.0184261 -2.95484e-22)             (0.995195 -0.0184261 2.48215e-22)             (1.00046 0.00728461 0)             (1.00046 -0.00728461 0)
        0.175             (0.940607 -0.00278668 1.89297e-21)             (0.995203 0.0184927 -3.00161e-22)             (0.995203 -0.0184927 2.51401e-22)             (1.00047 0.00732622 0)             (1.00047 -0.00732622 0)
         0.18             (0.940379 -0.0028001 1.90611e-21)             (0.995212 0.0185594 -3.04014e-22)             (0.995212 -0.0185594 2.5394e-22)             (1.00048 0.00736733 0)             (1.00048 -0.00736733 0)
        0.185             (0.94015 -0.00281352 1.91953e-21)             (0.99522 0.0186261 -3.07194e-22)             (0.99522 -0.0186261 2.55957e-22)             (1.00049 0.00740796 0)             (1.00049 -0.00740796 0)
         0.19             (0.939922 -0.00282694 1.93253e-21)             (0.995228 0.0186929 -3.09672e-22)             (0.995228 -0.0186929 2.57419e-22)             (1.0005 0.00744814 0)             (1.0005 -0.00744814 0)
        0.195             (0.939693 -0.00284037 1.94541e-21)             (0.995236 0.0187598 -3.11541e-22)             (0.995236 -0.0187598 2.58398e-22)             (1.00051 0.00748789 0)             (1.00051 -0.00748789 0)
          0.2             (0.939464 -0.0028538 1.95817e-21)             (0.995244 0.0188266 -3.12669e-22)             (0.995244 -0.0188266 2.58848e-22)             (1.00051 0.00752722 0)             (1.00051 -0.00752722 0)
        0.205             (0.939235 -0.00286724 1.97103e-21)             (0.995252 0.0188935 -3.13398e-22)             (0.995252 -0.0188935 2.58969e-22)             (1.00052 0.00756616 0)             (1.00052 -0.00756616 0)
         0.21             (0.939006 -0.00288068 1.98306e-21)             (0.99526 0.0189605 -3.13422e-22)             (0.99526 -0.0189605 2.5854e-22)             (1.00053 0.00760472 0)             (1.00053 -0.00760472 0)
        0.215             (0.938776 -0.00289415 1.99558e-21)             (0.995268 0.0190275 -3.13023e-22)             (0.995268 -0.0190275 2.57788e-22)             (1.00054 0.00764291 0)             (1.00054 -0.00764291 0)
         0.22             (0.938546 -0.00290762 2.0073e-21)             (0.995275 0.0190946 -3.12164e-22)             (0.995275 -0.0190946 2.56655e-22)             (1.00055 0.00768075 0)             (1.00055 -0.00768075 0)
        0.225             (0.938315 -0.00292111 2.01868e-21)             (0.995282 0.0191618 -3.10898e-22)             (0.995282 -0.0191618 2.55206e-22)             (1.00056 0.00771826 0)             (1.00056 -0.00771826 0)
         0.23             (0.938084 -0.00293463 2.02975e-21)             (0.99529 0.0192291 -3.09406e-22)             (0.99529 -0.0192291 2.53575e-22)             (1.00057 0.00775545 0)             (1.00057 -0.00775545 0)
        0.235             (0.937852 -0.00294816 2.04044e-21)             (0.995296 0.0192965 -3.0758e-22)             (0.995296 -0.0192965 2.51688e-22)             (1.00057 0.00779233 0)             (1.00057 -0.00779233 0)
         0.24             (0.93762 -0.00296172 2.05146e-21)             (0.995303 0.019364 -3.05522e-22)             (0.995303 -0.019364 2.49628e-22)             (1.00058 0.00782891 0)             (1.00058 -0.00782891 0)
        0.245             (0.937388 -0.0029753 2.06224e-21)             (0.99531 0.0194317 -3.03226e-22)             (0.99531 -0.0194317 2.47386e-22)             (1.00059 0.00786521 0)             (1.00059 -0.00786521 0)
         0.25             (0.937155 -0.00298892 2.07294e-21)             (0.995316 0.0194994 -3.00756e-22)             (0.995316 -0.0194994 2.45e-22)             (1.0006 0.00790122 0)             (1.0006 -0.00790122 0)
        0.255             (0.936922 -0.00300255 2.08344e-21)             (0.995322 0.0195673 -2.97968e-22)             (0.995322 -0.0195673 2.42421e-22)             (1.00061 0.00793695 0)             (1.00061 -0.00793695 0)
         0.26             (0.936688 -0.00301622 2.09408e-21)             (0.995328 0.0196352 -2.95073e-22)             (0.995328 -0.0196352 2.39773e-22)             (1.00062 0.00797249 0)             (1.00062 -0.00797249 0)
        0.265             (0.936453 -0.00302993 2.10445e-21)             (0.995334 0.0197032 -2.92042e-22)             (0.995334 -0.0197032 2.36997e-22)             (1.00062 0.00800779 0)             (1.00062 -0.00800779 0)
         0.27             (0.936218 -0.00304366 2.11372e-21)             (0.99534 0.0197714 -2.88612e-22)             (0.99534 -0.0197714 2.33916e-22)             (1.00063 0.00804287 0)             (1.00063 -0.00804287 0)
        0.275             (0.935982 -0.00305744 2.12347e-21)             (0.995345 0.0198396 -2.85153e-22)             (0.995345 -0.0198396 2.30819e-22)             (1.00064 0.00807772 0)             (1.00064 -0.00807772 0)
         0.28             (0.935746 -0.00307125 2.13298e-21)             (0.995351 0.019908 -2.81658e-22)             (0.995351 -0.019908 2.27691e-22)             (1.00065 0.00811236 0)             (1.00065 -0.00811236 0)
        0.285             (0.935509 -0.0030851 2.14238e-21)             (0.995356 0.0199765 -2.78078e-22)             (0.995356 -0.0199765 2.24505e-22)             (1.00066 0.00814677 0)             (1.00066 -0.00814677 0)
         0.29             (0.935272 -0.00309899 2.15185e-21)             (0.995361 0.0200451 -2.74392e-22)             (0.995361 -0.0200451 2.21277e-22)             (1.00067 0.00818103 0)             (1.00067 -0.00818103 0)
        0.295             (0.935034 -0.00311293 2.16127e-21)             (0.995366 0.0201137 -2.70486e-22)             (0.995366 -0.0201137 2.17894e-22)             (1.00067 0.00821512 0)             (1.00067 -0.00821512 0)
