0.3536 	0.3536 	2.79646e-19 	0.0088741 	-0.0075637 	-1.09485e-19
0.365828 	0.365828 	-1.45508e-18 	0.0078905 	-0.00694557 	-1.49461e-20
0.390737 	0.390737 	-7.28584e-18 	0.0309664 	-0.0213789 	-9.38877e-20
0.416572 	0.416572 	-9.36751e-18 	0.0616426 	-0.0337973 	-1.4186e-19
0.443367 	0.443367 	-4.16334e-18 	0.0974012 	-0.0453248 	-3.76058e-20
0.471157 	0.471157 	-3.46945e-18 	0.137554 	-0.0553068 	-5.38692e-20
0.49998 	0.49998 	-8.67362e-18 	0.181049 	-0.0639172 	3.31878e-20
0.529874 	0.529874 	-1.73472e-17 	0.227246 	-0.0710907 	2.16764e-20
0.560878 	0.560878 	-2.08167e-17 	0.275542 	-0.0768925 	-3.35502e-20
0.593035 	0.593035 	-1.97758e-17 	0.325454 	-0.0813679 	-1.97656e-19
0.626386 	0.626386 	-2.42861e-17 	0.37655 	-0.0845807 	2.06685e-19
0.660976 	0.660976 	-2.63678e-17 	0.428442 	-0.086591 	6.15706e-20
