# Probe 0 (2 0 0)
# Probe 1 (3 -1.5 0)
# Probe 2 (3 1.5 0)
# Probe 3 (4 -2 0)
# Probe 4 (4 2 0)
#       Probe             0             1             2             3             4
#        Time
       0.0675             (0.945734 -0.00249 8.10287e-22)             (0.995041 0.0169148 4.33629e-23)             (0.995041 -0.0169148 -1.99179e-23)             (1.00027 0.00633905 0)             (1.00027 -0.00633905 0)
         0.07             (0.945622 -0.00249704 8.11421e-22)             (0.995045 0.0169476 2.64186e-23)             (0.995045 -0.0169476 -6.65205e-24)             (1.00027 0.00636955 0)             (1.00027 -0.00636955 0)
       0.0725             (0.945509 -0.00250405 8.12708e-22)             (0.995049 0.0169808 1.06731e-23)             (0.995049 -0.0169808 5.65084e-24)             (1.00028 0.00639959 0)             (1.00028 -0.00639959 0)
        0.075             (0.945396 -0.00251105 8.14154e-22)             (0.995054 0.0170142 -3.96849e-24)             (0.995054 -0.0170142 1.70678e-23)             (1.00028 0.00642921 0)             (1.00028 -0.00642921 0)
       0.0775             (0.945284 -0.00251804 8.15648e-22)             (0.995058 0.0170479 -1.75935e-23)             (0.995058 -0.0170479 2.76698e-23)             (1.00028 0.00645842 0)             (1.00028 -0.00645842 0)
         0.08             (0.945171 -0.002525 8.17129e-22)             (0.995063 0.0170818 -3.02303e-23)             (0.995063 -0.0170818 3.74815e-23)             (1.00029 0.00648723 0)             (1.00029 -0.00648723 0)
       0.0825             (0.945059 -0.00253196 8.18246e-22)             (0.995069 0.0171159 -4.18874e-23)             (0.995069 -0.0171159 4.65098e-23)             (1.00029 0.00651564 0)             (1.00029 -0.00651564 0)
        0.085             (0.944946 -0.0025389 8.19912e-22)             (0.995074 0.0171502 -5.2818e-23)             (0.995074 -0.0171502 5.49555e-23)             (1.0003 0.00654368 0)             (1.0003 -0.00654368 0)
       0.0875             (0.944833 -0.00254582 8.21666e-22)             (0.995079 0.0171847 -6.29804e-23)             (0.995079 -0.0171847 6.27833e-23)             (1.0003 0.00657137 0)             (1.0003 -0.00657137 0)
         0.09             (0.944721 -0.00255273 8.23637e-22)             (0.995085 0.0172193 -7.24428e-23)             (0.995085 -0.0172193 7.0055e-23)             (1.00031 0.00659871 0)             (1.00031 -0.00659871 0)
       0.0925             (0.944608 -0.00255962 8.25663e-22)             (0.995091 0.0172539 -8.11624e-23)             (0.995091 -0.0172539 7.67634e-23)             (1.00031 0.00662572 0)             (1.00031 -0.00662572 0)
        0.095             (0.944495 -0.00256651 8.27748e-22)             (0.995096 0.0172887 -8.93346e-23)             (0.995096 -0.0172887 8.30124e-23)             (1.00032 0.00665241 0)             (1.00032 -0.00665241 0)
       0.0975             (0.944382 -0.00257338 8.2991e-22)             (0.995102 0.0173236 -9.69027e-23)             (0.995102 -0.0173236 8.87842e-23)             (1.00032 0.00667879 0)             (1.00032 -0.00667879 0)
          0.1             (0.944269 -0.00258024 8.32265e-22)             (0.995108 0.0173585 -1.03872e-22)             (0.995108 -0.0173585 9.40899e-23)             (1.00033 0.00670487 0)             (1.00033 -0.00670487 0)
       0.1025             (0.944156 -0.00258708 8.34658e-22)             (0.995114 0.0173935 -1.10342e-22)             (0.995114 -0.0173935 9.89984e-23)             (1.00033 0.00673067 0)             (1.00033 -0.00673067 0)
        0.105             (0.944043 -0.00259392 8.37176e-22)             (0.99512 0.0174286 -1.16404e-22)             (0.99512 -0.0174286 1.03579e-22)             (1.00034 0.00675619 0)             (1.00034 -0.00675619 0)
       0.1075             (0.94393 -0.00260074 8.39719e-22)             (0.995126 0.0174637 -1.22018e-22)             (0.995126 -0.0174637 1.07799e-22)             (1.00034 0.00678143 0)             (1.00034 -0.00678143 0)
         0.11             (0.943817 -0.00260756 8.42491e-22)             (0.995132 0.0174988 -1.27253e-22)             (0.995132 -0.0174988 1.11724e-22)             (1.00035 0.0068064 0)             (1.00035 -0.0068064 0)
